"Code","Latitude","Longitude","Cell","Station","Date_in","Date_out","Année","Collecteur","Code site","Nom du site","Passive/active","Sorter","Number of specimens","Notes","Code ID","ID","IDENTIFIER","NUMBER OF SPECIMEN","MALE","FEMALE","SEX INDETERMINATE","IDENTIFICATION NOTE","DATE OF IDENTIFICATION","IDENTIFICATION METHOD","QR code","Recorder?","Unique","Source","Date","RightCell"
"7_7_290623_CAP_a_ep.ba","501296930","61072112",7,"7","NA","290623",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-29,NA
"22_1_270623_SS_a_ep.ba","49975149","6050913",22,"1","NA","270623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-27,NA
"108_1_020623_OK_a_ep.ba","496051547","61888137",108,"1","NA","020623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-02,NA
"20_3_130623_AL+SL_a_my.fl","49983690","5904866",20,"3",NA,"130623",2023,"Amanda Luttringer + Stephanie Lippert",NA,NA,"a",NA,NA,"a","my.fl","Myathropa florea","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-13,NA
"108_1_50623_OK_a_ep.ba","4959349","6.15254",108,"1","NA","50623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-05,NA
"42_3_280623_AL+SL_a_ep.ba","498576292","58387915",42,"3","NA","280623",2023,"Amanda Luttringer + Stephanie Lippert",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-28,NA
"41_1_260623_AL_a_ep.ba","49850023","5790564",41,"1","NA","260623",2023,"Amanda Luttringer",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-26,NA
"132_2_300623_SS_a_ep.ba","49465881","6096600",132,"2","NA","300623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-30,NA
"132_2_300623_SS_a_vo.pe","49465881","6096600",132,"2","NA","300623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","vo.pe","Volucella pellucens","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-30,NA
"117_3_10623_OK_a_ep.ba","495444065","61887695",117,"3","NA","10623",2023,"Olivier Kirsch",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-01,NA
"2_2_190623_CAP_a_ep.ba","501618337","60172017",2,"2","NA","190623",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-19,NA
"96_5_290623_AL+SL+MM_a_ep.ba","496194288","60629819",96,"5","NA","290623",2023,"Amanda Luttringer + Stephanie Lippert+ Manon Michea",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-29,NA
"97_1_70623_MM + OK_a_ep.ba","496113697","61397159",97,"1","NA","70623",2023,"Manon Michéa + Olivier Kirsch",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-07,NA
"56_1_200623_LB_a_ep.ba","49810488","60909734",56,"1","NA","200623",2023,"Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-20,NA
"84_2_290623_SS_a_ep.ba","49723592","6489048",84,"2","NA","290623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-29,NA
"71_1_190623_SS_a_ep.ba","49754482","6355338",71,"1","NA","190623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-19,NA
